#F norm: /SNS/REF_M/IPTS-2334/36/6710/NeXus/REF_M_6710.nxs
#F data: /SNS/REF_M/IPTS-2364/37/6724/NeXus/REF_M_6724.nxs
#E 1274477967.89
#D 2010-05-21T17:39:27.885862-04:00
#C norm Run Number: 6710
#C data Run Number: 6724
#C data Title: _No2
#C norm Title: _No1
#C norm Notes: NONE
#C data Notes: NONE
#C data dt/t: 0.0248402303451
#C norm dt/t: 0.0248402303451
#C data Sample: Name; CoFe/TiZr supermirror | Nature; Thin Film
#C norm Proton Charge: (1869611008000.0, 'picoCoulomb')
#C data Proton Charge: (378672513024.0, 'picoCoulomb')
#C data Slit1 Size: (0.0034969998598098754, 'metre')
#C norm Slit1 Size: (0.0034969000220298769, 'metre')
#C data Slit3 Size: (0.00039629983901977539, 'metre')
#C norm Slit3 Size: (0.0001164999008178711, 'metre')
#C data Slit1-Slit3 Distance: (1.8849999904632568, 'metre')
#C norm Slit1-Slit3 Distance: (1.8849999904632568, 'metre')
#C norm dtheta: (0.0018551193844677316, 'radians')
#C data dtheta: (0.0018551723488075213, 'radians')
#C data theta: (nan, 'radians')
#C norm theta: (nan, 'radians')
#C norm dtheta_over_theta: nan
#C data dtheta_over_theta: nan
#C HLR Version - 1.7.9
#C DOM Version - 1.7.2
#C SCL Version - 1.4.1

#S 1 Spectrum ID ('bank1', (197, 127))
#N 3
#L scalar wavevector transfer(1/Angstroms)  Intensity(Counts/A-1)  Sigma(Counts/A-1)
0.0323820562087   0.0   0.0
0.0328446570117   0.0   0.0
0.0333206665336   0.0   0.0
0.0338106763355   0.0   0.0
0.0343153132958   0.0   0.0
0.0348352422851   4.6207447483   0.226678099214
0.0353711690895   4.48975776416   0.0447823221087
0.0359238436065   3.12382211854   0.0201798933805
0.0364940633463   2.81131255304   0.0151052570831
0.0370826772712   2.65288350543   0.0133486293582
0.0376905900134   2.59507483034   0.0124309835217
0.0383187665136   2.54768174113   0.0119302292694
0.0389682371325   2.5492027969   0.0117501093364
0.0396401032899   2.50117680791   0.0114505814044
0.0403355436985   2.45284820519   0.0111976961256
0.0410558212646   2.445930063   0.0112162276109
0.0418022907421   2.39536019331   0.0114249914552
0.0425764072373   2.34213710303   0.0116779304241
0.0433797356758   2.30974255203   0.0111203881171
0.0442139613618   2.20407668335   0.0105180248866
0.0450809017807   2.26355883506   0.0102883898039
0.0459825198163   2.16306348262   0.00983754319599
0.0469209385881   2.034691802   0.00939776927977
0.047898458142   1.85752174172   0.00885319993707
0.0489175742727   1.71335984594   0.00841562283032
0.0499809998003   1.69041090171   0.00827118561119
0.0510916886848   1.75100071476   0.0083032423184
0.0522528634276   1.78809423716   0.00823183340018
0.053468046298   1.46772392507   0.00732598067331
0.0547410950194   0.816276277886   0.00535316205064
0.0560762436784   0.360316642996   0.00348620346115
0.0574781497704   0.119208202289   0.00199404628002
0.0589519484825   0.0193840676175   0.000843508150305
0.0605033155478   0.0101573956948   0.00073023778189
0.0621385402923   0.00750273983133   0.000510213103298
0.063864610856   0.0088946417661   0.000552425995168
0.0656893140233   0.00474201071773   0.000410236911326
0.0676213526711   0.00420723973606   0.000398594018255
0.0696704845702   0.00285099426533   0.000370920288156
0.071847687213   0.00255337771946   0.000344480463646
0.0741653545425   0.0021527710263   0.000345218097518
0.0766375330272   0.00160192116221   0.00033385402312
0.0792802065799   0.000754108996815   0.000313466694661
0.0821116425291   0.000480599556009   0.000346569162944
0.0851528144747   0.0   0.0
0.0884279227237   0.0   0.0
0.0919650396326   0.0   0.0
0.095796916284   0.0   0.0
0.0999619996007   0.0   0.0
0.104505726855   0.0   0.0
0.109482190039   0.0   0.0
0.114956299541   
